"Name","ID","Runtime","Notes","Tags","Created","End Time","State","Sweep","GPU Count","GPU Type","activation","batch_norm","batch_size","dropout","epochs","learning_rate","momentum","optimizer","weight_decay","vgg_architecture","seed","name","train_acc","train_loss","val_acc","val_loss"
"giddy-sweep-25","9unadrqx","2866","-","","2025-10-20T09:09:39.000Z","2025-10-20T09:57:25.000Z","finished","62z9brzv","1","NVIDIA GeForce MX550","silu","true","256","0.3","50","0.0001","0.7","nadam","0.0005","[64,64,""M"",128,128,""M""]","42","","57.478","1.2240665895598275","67.12","0.9416224271059036"
"fine-sweep-24","map53h14","7589","-","","2025-10-20T07:03:05.000Z","2025-10-20T09:09:34.000Z","finished","62z9brzv","1","NVIDIA GeForce MX550","sigmoid","true","32","0.3","50","0.1","0.5","adagrad","0.0001","[64,64,""M"",128,128,""M""]","42","","60.826","1.1137508322471086","55.85","1.4132262439773486"
"cosmic-sweep-23","6ew9qmej","2290","-","","2025-10-20T06:24:53.000Z","2025-10-20T07:03:03.000Z","finished","62z9brzv","1","NVIDIA GeForce MX550","gelu","false","64","0.4","30","0.0001","0.5","adam","0.0005","[64,64,""M"",128,128,""M""]","42","","55.958","1.256550916854073","67.63","0.9501531158283258"
"skilled-sweep-22","d63fxnjt","2649","-","","2025-10-20T05:40:40.000Z","2025-10-20T06:24:49.000Z","finished","62z9brzv","1","NVIDIA GeForce MX550","gelu","true","32","0.3","30","0.0001","0.5","adagrad","0.0005","[64,64,""M"",128,128,""M""]","42","","31.06","1.9276907315867415","37.97","1.698734601465658"
"sparkling-sweep-21","r3r1638o","2297","-","","2025-10-20T05:02:21.000Z","2025-10-20T05:40:38.000Z","finished","62z9brzv","1","NVIDIA GeForce MX550","relu","true","128","0.3","30","0.0001","0.5","adam","0.00001","[64,64,""M"",128,128,""M""]","42","","56.508","1.2418415183606355","66","0.9701439059233364"
"azure-sweep-20","a61bhl40","3878","-","","2025-10-20T03:57:41.000Z","2025-10-20T05:02:19.000Z","finished","62z9brzv","1","NVIDIA GeForce MX550","tanh","false","64","0.5","50","0.01","0.9","adagrad","0.00001","[64,64,""M"",128,128,""M""]","42","","56.406","1.2409041728205084","65.1","1.0094711427475995"
"visionary-sweep-19","uboc79jv","3520","-","","2025-10-20T02:58:55.000Z","2025-10-20T03:57:35.000Z","finished","62z9brzv","1","NVIDIA GeForce MX550","relu","false","128","0.4","50","0.0001","0.9","nadam","0.0005","[64,64,""M"",128,128,""M""]","42","","49.946","1.428795080050788","59.16","1.1932812159574484"
"stellar-sweep-18","so59jb8e","3557","-","","2025-10-20T01:59:35.000Z","2025-10-20T02:58:52.000Z","finished","62z9brzv","1","NVIDIA GeForce MX550","tanh","false","64","0.5","50","0.01","0.7","sgd","0.0001","[64,64,""M"",128,128,""M""]","42","","58.774","1.1683063989557574","68.21","0.9004151149160543"
"classic-sweep-17","hi5mjzjd","3527","-","","2025-10-20T01:00:43.000Z","2025-10-20T01:59:30.000Z","finished","62z9brzv","1","NVIDIA GeForce MX550","silu","true","32","0.3","50","0.01","0.5","adam","0.0001","[64,64,""M"",128,128,""M""]","42","","74.964","0.7183412119164653","85.44","0.4667031619543085"
"northern-sweep-16","sdr9hxrl","2879","-","","2025-10-20T00:12:42.000Z","2025-10-20T01:00:41.000Z","finished","62z9brzv","1","NVIDIA GeForce MX550","sigmoid","true","32","0.5","50","0.0001","0.5","nadam","0.0005","[64,64,""M"",128,128,""M""]","42","","47.338","1.4825584110508954","52.37","1.3349638152808043"
"bright-sweep-15","ur1eutat","2855","-","","2025-10-19T23:25:07.000Z","2025-10-20T00:12:42.000Z","finished","62z9brzv","1","NVIDIA GeForce MX550","sigmoid","true","32","0.3","50","0.01","0.7","adam","0.00001","[64,64,""M"",128,128,""M""]","42","","72.51","0.7880898789572396","81.09","0.5985738597691249"
"silver-sweep-14","fxeh984r","1059","-","","2025-10-19T23:07:26.000Z","2025-10-19T23:25:05.000Z","finished","62z9brzv","1","NVIDIA GeForce MX550","relu","true","64","0.5","20","0.001","0.7","adagrad","0.0005","[64,64,""M"",128,128,""M""]","42","","44.936","1.5617489890979075","54.82","1.2895999558412343"
"effortless-sweep-13","s4be0em3","1498","-","","2025-10-19T22:42:24.000Z","2025-10-19T23:07:22.000Z","finished","62z9brzv","1","NVIDIA GeForce MX550","silu","false","64","0.5","30","0.1","0.7","sgd_nesterov","0.00001","[64,64,""M"",128,128,""M""]","42","","69.024","0.8962870977266365","80.56","0.6043150066190465"
"morning-sweep-12","1scj9esp","1596","-","","2025-10-19T22:15:47.000Z","2025-10-19T22:42:23.000Z","finished","62z9brzv","1","NVIDIA GeForce MX550","relu","true","64","0.3","30","0.001","0.7","adam","0.0001","[64,64,""M"",128,128,""M""]","42","","69.852","0.8699128768023323","77.02","0.7355416787278121"
"neat-sweep-11","5ngmp90b","2499","-","","2025-10-19T21:34:05.000Z","2025-10-19T22:15:44.000Z","finished","62z9brzv","1","NVIDIA GeForce MX550","silu","false","64","0.4","50","0.001","0.7","sgd","0.0005","[64,64,""M"",128,128,""M""]","42","","40.486","1.6634602720475258","50.16","1.3846937888746809"
"legendary-sweep-10","7y7xrvl4","2655","-","","2025-10-19T20:49:46.000Z","2025-10-19T21:34:01.000Z","finished","62z9brzv","1","NVIDIA GeForce MX550","relu","true","64","0.4","50","0.001","0.5","sgd","0.0001","[64,64,""M"",128,128,""M""]","42","","50.032","1.4110289966053975","59.3","1.1763685960678538"
"visionary-sweep-9","madk8ohc","2669","-","","2025-10-19T20:05:16.000Z","2025-10-19T20:49:45.000Z","finished","62z9brzv","1","NVIDIA GeForce MX550","sigmoid","false","32","0.5","50","0.0001","0.7","adam","0.00001","[64,64,""M"",128,128,""M""]","42","","32.156","1.8658244313144257","41","1.6289567715062885"
"helpful-sweep-8","9wahpq4o","1426","-","","2025-10-19T19:41:29.000Z","2025-10-19T20:05:15.000Z","finished","62z9brzv","1","NVIDIA GeForce MX550","sigmoid","false","128","0.4","30","0.0001","0.5","adagrad","0.00001","[64,64,""M"",128,128,""M""]","42","","13.168","2.301222459129665","15.92","2.2990798225885705"
"ethereal-sweep-7","tk5bg5o6","1140","-","","2025-10-19T19:22:24.000Z","2025-10-19T19:41:24.000Z","finished","62z9brzv","1","NVIDIA GeForce MX550","gelu","true","32","0.3","20","0.01","0.9","adam","0.0001","[64,64,""M"",128,128,""M""]","42","","70.672","0.8437066759082346","79.93","0.623442685689789"
"misty-sweep-6","f5dc6gso","1459","-","","2025-10-19T18:58:04.000Z","2025-10-19T19:22:23.000Z","finished","62z9brzv","1","NVIDIA GeForce MX550","silu","false","128","0.5","30","0.001","0.7","nadam","0.0001","[64,64,""M"",128,128,""M""]","42","","70.588","0.8445628607059683","81.87","0.5617066550103924"
"whole-sweep-5","6pkoq9ht","1137","-","","2025-10-19T18:39:01.000Z","2025-10-19T18:57:58.000Z","finished","62z9brzv","1","NVIDIA GeForce MX550","tanh","true","32","0.4","20","0.1","0.7","sgd","0.0001","[64,64,""M"",128,128,""M""]","42","","58.336","1.1870882349447494","69.36","0.906807811591572"
"floral-sweep-4","k3r73vqg","1125","-","","2025-10-19T18:20:11.000Z","2025-10-19T18:38:56.000Z","finished","62z9brzv","1","NVIDIA GeForce MX550","silu","true","64","0.4","20","0.0001","0.9","sgd_nesterov","0.0005","[64,64,""M"",128,128,""M""]","42","","37.678","1.7583866512683957","45.24","1.5207747289329578"
"youthful-sweep-3","u8hzc37u","1617","-","","2025-10-19T17:53:10.000Z","2025-10-19T18:20:07.000Z","finished","62z9brzv","1","NVIDIA GeForce MX550","gelu","false","32","0.4","30","0.01","0.7","adam","0.00001","[64,64,""M"",128,128,""M""]","42","","10.12","2.303861984288319","10","2.303114139995636"
"celestial-sweep-2","e33bpqg9","2487","-","","2025-10-19T17:11:38.000Z","2025-10-19T17:53:05.000Z","finished","62z9brzv","1","NVIDIA GeForce MX550","silu","false","64","0.5","50","0.001","0.5","adagrad","0.0005","[64,64,""M"",128,128,""M""]","42","","40.098","1.683865819288337","48.42","1.4728245218847966"
"lucky-sweep-1","6gwzktz6","986","-","","2025-10-19T16:55:06.000Z","2025-10-19T17:11:32.000Z","finished","62z9brzv","1","NVIDIA GeForce MX550","silu","false","32","0.3","20","0.1","0.7","rmsprop","0.0001","[64,64,""M"",128,128,""M""]","42","","9.954","2.316566957240675","10","2.312887422573833"
